date,deviation_area_km2
2023-05-16,151363.66481627015
2023-05-17,157902.16002443308
2023-05-18,145334.04020786745
2023-05-19,161419.66066146796
2023-05-20,131605.51272984804
2023-05-21,116047.77382955137
2023-05-22,128508.86250001348
2023-05-23,123016.75075256273
2023-05-24,155618.38933418636
2023-05-25,135728.48239318214
2023-05-26,155327.5184265401
2023-05-27,148014.61801613876
2023-05-28,133123.53764730252
2023-05-29,176849.35885426382
2023-05-30,113985.80894087222
2023-05-31,110923.42248577882
2023-06-01,-48210.620256775845
2023-06-02,-19110.74478510524
2023-06-03,-24681.913074493226
2023-06-04,-22393.960220884706
2023-06-05,-19767.520283798036
2023-06-06,-7448.19868454242
2023-06-07,8330.474917082476
2023-06-08,-5411.2469245983975
2023-06-09,-21581.40841770277
2023-06-10,-10322.859659378233
2023-06-11,-34869.37866304345
2023-06-12,-44359.105933763814
2023-06-13,-41000.4568486236
2023-06-14,-43729.40445812177
2023-06-15,-34389.036206761266
2023-06-16,-29543.966534373747
2023-06-17,-20769.1336208683
2023-06-18,-33637.91975021968
2023-06-19,-72992.51282525425
2023-06-20,-48754.041742268695
2023-06-21,-51734.17263291156
2023-06-22,-58159.453442917846
2023-06-23,-56167.851533514506
2023-06-24,-58249.47620126966
2023-06-25,-56549.45830326836
2023-06-26,-55619.55070795111
2023-06-27,-52799.03153203972
2023-06-28,-51187.880080054914
2023-06-29,-49088.87529076193
2023-06-30,-50480.75561303266
2023-07-01,-133284.72498778676
2023-07-02,-136435.01544431166
2023-07-03,-132547.94858334356
2023-07-04,-141752.99529733413
2023-07-05,-149317.32593796198
2023-07-06,-156100.12744518946
2023-07-07,-138560.83669655156
2023-07-08,-130816.12283466356
2023-07-09,-155023.42952773845
2023-07-10,-148533.22310606745
2023-07-11,-154747.41308197007
2023-07-12,-150707.73771060564
2023-07-13,-148743.3660175494
2023-07-14,-128249.97694526544
2023-07-15,-115134.52537312284
2023-07-16,-114313.67277058773
2023-07-17,-115402.81605829521
2023-07-18,-122805.14631244338
2023-07-19,-134482.27260115393
2023-07-20,-113619.39233607797
2023-07-21,-134881.81175195338
2023-07-22,-138747.06126686736
2023-07-23,-125284.13370824777
2023-07-24,-106656.62518055658
2023-07-25,-95302.98893751332
2023-07-26,-125648.47007464732
2023-07-27,-153818.3180569992
2023-07-28,-140191.586546775
2023-07-29,-149948.0977136588
2023-07-30,-148390.5161216979
2023-07-31,-166686.16589263803
2023-08-01,-199499.03997302792
2023-08-02,-187620.28554903888
2023-08-03,-193356.6122825671
2023-08-04,-203540.55397064012
2023-08-05,-207969.63596741483
2023-08-06,-238268.75599824343
2023-08-07,-206885.89141116952
2023-08-08,-218088.76725848363
2023-08-09,-225079.71813685546
2023-08-10,-222305.25794126705
2023-08-11,-230239.42238565302
2023-08-12,-225085.86582694785
2023-08-13,-215416.29101431114
2023-08-14,-209735.37676446876
2023-08-15,-205323.88178335768
2023-08-16,-207718.78805991434
2023-08-17,-206197.5382740441
2023-08-18,-189096.30157206755
2023-08-19,-191099.8138639868
2023-08-20,-191800.12267253877
2023-08-21,-217018.7021670008
2023-08-22,-219224.01766430723
2023-08-23,-214920.9536573637
2023-08-24,-192229.8759978607
2023-08-25,-187699.9990746884
2023-08-26,-210016.5310191508
2023-08-27,-189241.66541315606
2023-08-28,-195443.31384343113
2023-08-29,-201326.41090412514
2023-08-30,-198866.27118567197
2023-08-31,-205125.63817021972
2023-09-01,-175564.53905382846
2023-09-02,-176054.68966511416
2023-09-03,-190121.19646117455
2023-09-04,-192801.8553391114
2023-09-05,-193180.3895461838
