date,flooded_area_km2
2023-07-11,6.335000000000001e-06
2023-07-12,6.875000000000002e-06
2023-07-13,8.725000000000002e-06
2023-07-14,9.297500000000002e-06
2023-07-15,1.1055000000000002e-05
2023-07-16,1.1622500000000003e-05
2023-07-17,1.3192500000000003e-05
2023-07-18,1.4750000000000003e-05
2023-07-19,1.5382500000000004e-05
2023-07-20,1.4050000000000003e-05
2023-07-21,1.2630000000000003e-05
2023-07-22,1.1730000000000003e-05
2023-07-23,1.2802500000000002e-05
2023-07-24,1.3897500000000002e-05
2023-07-25,1.3142500000000002e-05
2023-07-26,1.2407500000000003e-05
2023-07-27,1.0037500000000002e-05
2023-07-28,1.0095000000000002e-05
2023-07-29,8.352500000000002e-06
2023-07-30,6.800000000000002e-06
2023-07-31,5.382500000000001e-06
2023-08-01,5.000000000000001e-06
2023-08-02,6.095000000000002e-06
2023-08-03,6.810000000000002e-06
2023-08-04,7.300000000000001e-06
2023-08-05,7.440000000000002e-06
2023-08-06,6.435000000000001e-06
2023-08-07,5.1650000000000005e-06
2023-08-08,3.7275000000000007e-06
2023-08-09,3.9025e-06
2023-08-10,4.0675000000000004e-06
2023-08-11,4.677500000000001e-06
2023-08-12,4.907500000000001e-06
2023-08-13,5.1450000000000016e-06
2023-08-14,4.590000000000001e-06
2023-08-15,4.645e-06
2023-08-16,4.345000000000001e-06
2023-08-17,4.4600000000000005e-06
2023-08-18,4.985000000000001e-06
2023-08-19,6.545000000000002e-06
2023-08-20,6.555000000000002e-06
2023-08-21,6.322500000000002e-06
2023-08-22,6.127500000000001e-06
2023-08-23,6.487500000000002e-06
2023-08-24,7.772500000000002e-06
2023-08-25,7.662500000000002e-06
2023-08-26,7.450000000000001e-06
2023-08-27,7.112500000000002e-06
2023-08-28,6.847500000000001e-06
2023-08-29,6.207500000000001e-06
2023-08-30,5.820000000000001e-06
2023-08-31,5.380000000000001e-06
2023-09-01,5.705000000000001e-06
2023-09-02,5.237500000000001e-06
2023-09-03,5.130000000000001e-06
2023-09-04,4.915000000000001e-06
2023-09-05,4.887500000000001e-06
2023-09-06,4.512500000000001e-06
2023-09-07,5.127500000000001e-06
2023-09-08,6.225000000000001e-06
2023-09-09,6.785000000000001e-06
2023-09-10,6.990000000000001e-06
2023-09-11,7.210000000000002e-06
2023-09-12,8.257500000000002e-06
2023-09-13,8.885000000000002e-06
2023-09-14,8.665000000000001e-06
2023-09-15,9.080000000000001e-06
2023-09-16,9.260000000000001e-06
2023-09-17,9.550000000000002e-06
2023-09-18,1.1502500000000004e-05
2023-09-19,1.3037500000000003e-05
2023-09-20,1.4640000000000002e-05
2023-09-21,1.5657500000000004e-05
2023-09-22,1.6165000000000002e-05
2023-09-23,1.4617500000000004e-05
2023-09-24,1.1700000000000003e-05
2023-09-25,8.190000000000001e-06
2023-09-26,5.977500000000001e-06
2023-09-27,6.140000000000001e-06
2023-09-28,5.840000000000001e-06
2023-09-29,5.305000000000001e-06
2023-09-30,4.995000000000001e-06
2023-10-01,7.137500000000001e-06
2023-10-02,7.522500000000002e-06
2023-10-03,8.825000000000001e-06
2023-10-04,8.515000000000002e-06
2023-10-05,8.167500000000003e-06
2023-10-06,8.517500000000001e-06
2023-10-07,9.127500000000002e-06
2023-10-08,1.0617500000000001e-05
2023-10-09,1.0887500000000002e-05
2023-10-10,1.0897500000000002e-05
2023-10-11,1.0855000000000002e-05
2023-10-12,9.872500000000002e-06
2023-10-13,9.952500000000002e-06
2023-10-14,1.0197500000000002e-05
2023-10-15,9.890000000000002e-06
2023-10-16,9.487500000000002e-06
2023-10-17,9.707500000000002e-06
2023-10-18,1.1080000000000002e-05
2023-10-19,1.2945000000000002e-05
2023-10-20,1.2535000000000001e-05
2023-10-21,1.2860000000000002e-05
2023-10-22,1.2040000000000003e-05
2023-10-23,1.2815000000000004e-05
2023-10-24,1.2002500000000002e-05
2023-10-25,1.2307500000000002e-05
2023-10-26,1.1370000000000003e-05
2023-10-27,1.0915000000000003e-05
2023-10-28,1.0687500000000002e-05
2023-10-29,1.1015000000000002e-05
2023-10-30,1.1587500000000002e-05
2023-10-31,1.1937500000000002e-05
2023-11-01,2.9615000000000007e-05
2023-11-02,3.289750000000001e-05
2023-11-03,3.4945000000000005e-05
2023-11-04,3.413000000000001e-05
2023-11-05,3.293750000000001e-05
2023-11-06,3.26375e-05
2023-11-07,3.1845000000000004e-05
2023-11-08,3.482500000000001e-05
2023-11-09,3.47925e-05
2023-11-10,3.4965e-05
2023-11-11,3.496000000000001e-05
2023-11-12,3.39175e-05
2023-11-13,3.3032500000000006e-05
2023-11-14,3.4715e-05
2023-11-15,3.847500000000001e-05
2023-11-16,3.986000000000001e-05
2023-11-17,4.211000000000001e-05
2023-11-18,4.360000000000001e-05
2023-11-19,4.277750000000001e-05
2023-11-20,3.969000000000001e-05
2023-11-21,3.5815e-05
2023-11-22,3.359e-05
2023-11-23,3.413750000000001e-05
2023-11-24,3.3320000000000006e-05
2023-11-25,3.2550000000000005e-05
2023-11-26,3.0052500000000004e-05
2023-11-27,2.8340000000000006e-05
2023-11-28,3.097500000000001e-05
2023-11-29,3.269250000000001e-05
2023-11-30,3.604000000000001e-05
2023-12-01,4.301e-05
2023-12-02,4.3462500000000006e-05
2023-12-03,4.403000000000001e-05
2023-12-04,4.304000000000001e-05
2023-12-05,4.370250000000001e-05
