date,water_area_km2
2023-10-10,1211541.2144044447
2023-10-11,1199789.8049308967
2023-10-12,1196301.5114523934
2023-10-13,1221219.4675086162
2023-10-14,1247667.907408944
2023-10-15,1240925.7123099768
2023-10-16,1147653.099918223
2023-10-17,1273344.8219402519
2023-10-18,1219250.3404240748
2023-10-19,1271734.7328474438
2023-10-20,1279006.5060668183
2023-10-21,1126263.9397014275
2023-10-22,1170410.7019278242
2023-10-23,1099325.0475676032
2023-10-24,1233285.6122610983
2023-10-25,1203032.1123082864
2023-10-26,1133617.4387354336
2023-10-27,1200550.7296408096
2023-10-28,1148587.782984532
2023-10-29,1185667.5979579943
2023-10-30,1249720.356703514
2023-10-31,1247130.8646518749
2023-11-01,1152024.7972123886
2023-11-02,1069297.873365049
2023-11-03,1155254.260667558
2023-11-04,1163202.8790980885
2023-11-05,1236516.9119433064
2023-11-06,1149756.0262667788
2023-11-07,1175814.5782309335
2023-11-08,1071798.7167530858
2023-11-09,1041277.1076040678
2023-11-10,1205551.504133219
2023-11-11,1188521.759717156
2023-11-12,1205503.408704772
2023-11-13,1194270.8036246717
2023-11-14,1189551.4343044218
2023-11-15,1214076.0193088688
2023-11-16,1291919.9143214158
2023-11-17,1272635.982808992
2023-11-18,1184472.0934013298
2023-11-19,1164204.5225984103
2023-11-20,1205297.2065936048
2023-11-21,1185822.0308103114
2023-11-22,1423913.9469627046
2023-11-23,1235513.5856330816
2023-11-24,1265220.7403532502
2023-11-25,1180292.2325004418
2023-11-26,1216582.0044337274
2023-11-27,1300823.2716102013
2023-11-28,1207008.595115219
2023-11-29,1339682.6796458839
2023-11-30,1161485.1343829818
2023-12-01,1136366.8998886063
2023-12-02,1081446.421084177
2023-12-03,1129020.783249884
2023-12-04,1178545.0690051543
2023-12-05,1188482.2185143393
2023-12-06,1251599.4915697104
2023-12-07,1193636.147553808
2023-12-08,1103227.7738921945
2023-12-09,1170035.1798843024
2023-12-10,1178504.0554968605
2023-12-11,1243869.7800295355
2023-12-12,1122552.0403041975
2023-12-13,1065153.4565835577
2023-12-14,1062107.9943893496
2023-12-15,1055163.2032122428
2023-12-16,1223221.7792474371
2023-12-17,1141357.3138679792
2023-12-18,1283438.2206687953
2023-12-19,1221272.0292038103
2023-12-20,1135930.1984639375
2023-12-21,1200253.6321580762
2023-12-22,1188164.7431854059
2023-12-23,1267456.1578976428
2023-12-24,1227118.5683727658
2023-12-25,1125388.3441301407
2023-12-26,1133389.251180169
2023-12-27,1160151.3114639625
2023-12-28,1280007.245161451
2023-12-29,1173653.6657299534
2023-12-30,1047212.2834110662
2023-12-31,1173509.5795430613
